,GFP,RFP
0,14469.0,1974.0
0,12518.0,1666.0
0,4377.0,922.0
0,15203.0,1949.0
0,12615.0,2184.0
0,10357.0,2184.0
0,25903.0,4204.0
0,10911.0,4204.0
0,19650.0,4204.0
0,28122.0,4079.0
0,23476.0,2260.0
0,14247.0,1547.0
0,13537.0,1153.0
0,10159.0,1410.0
0,22876.0,1410.0
0,14987.0,1410.0
0,16650.0,1410.0
0,31858.0,3663.0
0,21536.0,3663.0
0,33057.0,3663.0
0,21451.0,3663.0
0,22151.0,3663.0
0,18897.0,2758.0
0,29936.0,2758.0
0,36964.0,4003.0
0,17816.0,1673.0
0,24981.0,2178.0
0,8880.0,2178.0
0,14892.0,2178.0
0,26816.0,2178.0
0,30370.0,3202.0
0,23546.0,3202.0
0,11171.0,2829.0
0,15902.0,2829.0
0,22029.0,3211.0
0,30534.0,3784.0
0,20659.0,1853.0
0,16021.0,1399.0
0,11659.0,531.0
0,14273.0,2079.0
0,9444.0,2079.0
0,26484.0,2079.0
0,35472.0,8039.0
0,12998.0,1084.0
0,18966.0,1084.0
0,16146.0,2775.0
0,31768.0,3225.0
0,21065.0,3225.0
0,30466.0,3225.0
0,10215.0,1479.0
0,14373.0,756.0
0,8142.0,1429.0
0,20939.0,2629.0
0,12627.0,1257.0
0,10313.0,1069.0
0,18361.0,1591.0
0,14147.0,659.0
0,58109.0,3059.0
0,24575.0,3059.0
0,22506.0,3059.0
0,17081.0,2940.0
0,12198.0,2783.0
0,12673.0,2783.0
0,17351.0,1542.0
0,13553.0,1091.0
0,9809.0,1542.0
0,24015.0,3123.0
0,25842.0,3123.0
0,35931.0,1542.0
0,23916.0,1542.0
0,34072.0,4734.0
0,5525.0,662.0
0,8735.0,899.0
0,18249.0,873.0
0,13156.0,1963.0
0,16280.0,1006.0
0,12155.0,1250.0
0,29009.0,2531.0
0,21437.0,2531.0
0,12163.0,1218.0
0,15246.0,1280.0
0,8018.0,1327.0
0,12629.0,1672.0
0,23666.0,1341.0
0,16033.0,2666.0
0,10569.0,2666.0
0,16022.0,2103.0
0,31943.0,3257.0
0,13667.0,1457.0
0,22153.0,1994.0
0,17911.0,1020.0
0,17122.0,3207.0
0,8906.0,3207.0
0,12926.0,1803.0
0,9863.0,1803.0
0,30079.0,5062.0
0,11287.0,1558.0
0,27974.0,2775.0
0,15227.0,2775.0
0,18802.0,3325.0
0,26620.0,3325.0
0,30929.0,1851.0
0,19146.0,1851.0
0,23706.0,1851.0
0,11386.0,940.0
0,15295.0,1887.0
0,15725.0,1887.0
0,9085.0,595.0
0,19647.0,595.0
0,16688.0,3682.0
0,45948.0,3682.0
0,17196.0,2795.0
0,7366.0,2795.0
0,8758.0,2795.0
0,24102.0,2795.0
0,22514.0,1925.0
0,13309.0,2875.0
0,15080.0,2875.0
0,24493.0,3357.0
0,16012.0,3357.0
0,16386.0,3357.0
0,19983.0,2469.0
0,14596.0,2469.0
0,11386.0,848.0
0,27515.0,3410.0
0,23505.0,4194.0
0,10855.0,2307.0
0,19145.0,2307.0
0,24603.0,2112.0
0,20867.0,2423.0
0,39618.0,4215.0
0,15410.0,2543.0
0,43936.0,2543.0
0,14200.0,1592.0
